id,title,authors,year,type,source_family,url,relevance,evidence,limitations,decision,notes_file
S11,Bazzite Repository,ublue-os,n.d.,official repository,Bazzite,https://github.com/ublue-os/bazzite,Primary repository for Bazzite implementation details.,Useful to verify Fedora Atomic base and project structure.,"Implementation source, not academic analysis.",supporting,literature/notes/S11_Bazzite.md
S12,Bottles Documentation,Bottles,n.d.,official documentation,Compatibility tools,https://docs.usebottles.com/,Shows managed Wine environments and dependency handling.,Useful for non-gaming Windows application management.,Tool documentation.,supporting,literature/notes/S12_Compatibility_tools.md
S13,CrossOver,CodeWeavers,n.d.,company documentation,Wine commercial ecosystem,https://www.codeweavers.com/crossover,Commercial Wine-based solution for Windows apps on Linux/macOS.,Useful to show Wine beyond gaming.,Company source; possible marketing bias.,supporting,literature/notes/S13_Wine_commercial_ecosystem.md
S14,Lutris,Lutris,n.d.,project documentation,Compatibility tools,https://lutris.net/about,Shows launcher and runner management in Linux gaming.,Useful for ecosystem tooling around compatibility.,Mostly gaming-oriented.,supporting,literature/notes/S14_Compatibility_tools.md
S15,Heroic Games Launcher,Heroic Games Launcher,n.d.,project documentation,Compatibility tools,https://heroicgameslauncher.com/,"Useful for non-Steam launchers such as Epic, GOG and Amazon Games.",Supports the argument that compatibility depends on ecosystem tooling.,Launcher-specific.,supporting,literature/notes/S15_Compatibility_tools.md
S16,Is Proton Good Enough? A Performance Comparison Between Gaming on Windows and Linux,Kopel and Bożek,2023,academic paper,Performance study,https://link.springer.com/chapter/10.1007/978-3-031-41456-5_48,Peer-reviewed performance comparison between Windows and Linux/Proton.,Central empirical source for Proton performance.,Gaming-specific benchmark.,core,literature/notes/S16_Performance_study.md
S17,Loupe: Driving the Development of OS Compatibility Layers,Lefeuvre et al.,2023,academic paper,Compatibility layers,https://arxiv.org/abs/2309.15996,General operating-system compatibility-layer research.,Useful to frame compatibility layers beyond Proton.,Needs careful mapping to Windows/Linux case.,core,literature/notes/S17_Compatibility_layers.md
S18,Security implications of running Windows software on a Linux system using Wine,Duncan and Schreuders,2019,academic paper,Wine / security,https://link.springer.com/article/10.1007/s11416-018-0319-9,Academic source specifically about running Windows software on Linux with Wine.,Useful for limitations and security implications.,"Security focus, not general compatibility.",core,literature/notes/S18_Wine___security.md
S19,Open Source Software Strategy,European Commission,n.d.,policy documentation,Open source / digital sovereignty,https://digital-strategy.ec.europa.eu/en/policies/open-source-strategy,"Supports motivation around open source, interoperability and technological autonomy.","Policy context, not technical evidence.",Should not be used to prove compatibility claims.,supporting,literature/notes/S19_Open_source___digital_sovereignty.md
S20,ProtonDB,ProtonDB community,n.d.,community database,Community evidence,https://www.protondb.com/,Large-scale community compatibility context.,Useful for examples and context.,Crowdsourced and not controlled empirical evidence.,supporting,literature/notes/S20_Community_evidence.md
S21,AreWeAntiCheatYet,Community project,n.d.,community database,Anti-cheat evidence,https://areweanticheatyet.com/,Useful for practical anti-cheat compatibility context.,Shows common anti-cheat barriers.,Community maintained; use only as supplementary evidence.,supporting,literature/notes/S21_Anti-cheat_evidence.md
